Name,Area Coverage sqft per box,Weight kg per box,Unit,Billing sqft per box,Sqft Price
10050 F 12X12 WP MAT,8.72,10,Boxes,9,53
10055 F 12X12 WP MAT,8.72,10,Boxes,9,53
10080 F 12X12 WP MAT,8.72,10,Boxes,9,53
10089 F 12X12 WP MAT,8.72,10,Boxes,9,53
10917 F 12X12 WP MAT,8.72,10,Boxes,9,53
10931 F 12X12 WP MAT,8.72,10,Boxes,9,53
58008 F 12X12 WP MAT,8.72,10,Boxes,9,53
58021 F 12X12 WP MAT,8.72,10,Boxes,9,53
58030 F 12X12 WP MAT,8.72,10,Boxes,9,53
58043 F 12X12 WP MAT,8.72,10,Boxes,9,53
58044 F 12X12 WP MAT,8.72,10,Boxes,9,53
58060 F 12X12 WP MAT,8.72,10,Boxes,9,53
58069 F 12X12 WP MAT,8.72,10,Boxes,9,53
58078 F 12X12 WP MAT,8.72,10,Boxes,9,53
58088 F 12X12 WP MAT,8.72,10,Boxes,9,53
58107 F 12X12 WP MAT,8.72,10,Boxes,9,53
30050 F 12X12 WP MAT,8.72,10,Boxes,9,53
51016 F 12X12 WP MAT,8.72,10,Boxes,9,53
51098 F 12X12 WP MAT,8.72,10,Boxes,9,53
51284 F 12X12 WP MAT,8.72,10,Boxes,9,53
SNOW WHITE ROOFING 12X12 VIT ROOF,7.75,12,Boxes,8,58
BLOOM F 12X12 SM MAT,8.72,10,Boxes,9,51
ROOF ALTIS MULTI 12X12 ROOF,8.72,11,Boxes,9,47
ROOF LAME BLUE 12X12 ROOF,8.72,11,Boxes,9,47
SPARKLE LEO MULTI 12X12 ROOF,8.72,11,Boxes,9,47
ROOFING WHITE 12X12 ROOF,8.72,11,Boxes,9,47
BRADFORD 12X12 PARK,7.75,12,Boxes,8,51
ESNEX 12X12 PARK,7.75,12,Boxes,8,51
FUYA BLUE 12X12 PARK,7.75,12,Boxes,8,51
HANIS GREY 12X12 PARK,7.75,12,Boxes,8,51
HOPA GREY 12X12 PARK,7.75,12,Boxes,8,51
